Content,handle
"This is a disgusting and heartbreaking act of antisemitism, and it has no place in our beautiful city. As Mayor, I will always stand steadfast with our Jewish neighbors to root the scourge of antisemitism out of our city.My community’s yeshiva (Jewish day school) in Brooklyn, where I taught years ago.",Zohran Mamdani
"Honored to join Richmond Hill’s Hindu community for the Diwali Motorcade and Parade today. Liberty Ave was glowing with diyas, music, and families. 

I have stood with our Indo Caribbean and Indian American neighbors for decades, and I will be back for Diwali and Phagwah next",Curtis Sliwa
"New York, tomorrow is the big day, the final push to vote! 

As a reminder with this video, while I am a lifelong Democrat, just like my father Mario Cuomo before me, this year I am running on the Fight & Deliver independent ballot line. 

We’re SO close to winning and every",Andrew Cuomo
"The Art of the Deal.Breaking News: Mayor Eric Adams will endorse Andrew Cuomo for mayor of New York City to try to stop the momentum of Zohran Mamdani. https://
nyti.ms/475wlyd",Zohran Mamdani
"October 7th was a dark day, and the memory of the attacks and the innocent lives lost must never be forgotten. 

The death and destruction that has followed in the region is deeply disheartening, and my prayers are with all families here in New York and abroad who continue to",Curtis Sliwa
,Zohran Mamdani
"Make no mistake… it will be President Trump and Mayor Trump taking over this city if Mamdani wins.

#VoteforCuomo #SayNoToZo",Andrew Cuomo
"Andrew Cuomo picks up the phone to call Donald Trump, and hangs up when he's asked about it.New — Andrew Cuomo hung up in the middle of a radio interview today, after the hosts pressed him on Donald Trump expressing support for him",Zohran Mamdani
"Never know who might pop by a canvass so you better not miss out.

Sign up here:",Zohran Mamdani
"When it comes to this year’s NYC mayoral election, the choice couldn’t be more stark",Andrew Cuomo
Watch the full interview at .,Zohran Mamdani
"Not only did Team Cuomo win the debate tonight, but so did our  — and I got to catch up with my good friend  

Early voting starts Saturday — Let’s bring it home, NY!",Andrew Cuomo
That’s right Roger you’re a true patriot,Curtis Sliwa
"Let’s hear what Black New Yorkers really think about Zohran Mamdani.

#VoteForCuomo #SayNoToZo",Andrew Cuomo
"An honor to be welcomed at Sultan Jamia Mosque in the Bronx. We talked about uplifting working families, supporting small businesses, cutting taxes and red tape, and building a safer, stronger community for everyone. Make your plan to vote early and let your voice be heard.",Curtis Sliwa
Upper West Side (at a different location),Zohran Mamdani
"It's an honor to earn the endorsement of , its Chairman , and the elected officials who fight for this borough every day.

Families in the Bronx are being crushed by the affordability crisis. As Mayor, I’ll deliver for them and all New Yorkers.",Zohran Mamdani
"Proud to join National Night Out across Queens in support of our brave NYPD. I always stand with our officers and I’m the only candidate with a real plan to hire more cops and keep New Yorkers safe.

",Curtis Sliwa
,Zohran Mamdani
". called the NYPD racist — last week, after 5 years refusing, he told The New York Times he “intends” to apologize…Yesterday he was asked when that would happen and he responded with his usual word salad. 

Let’s go,  - New Yorkers are waiting",Andrew Cuomo
"A beautiful day in Brooklyn marching in the Sunset Park Parade - celebrating community, culture, and the people who make NYC great.",Andrew Cuomo
"Last week, thousands of volunteers knocked on more than 100,000 doors across the five boroughs — the first time we've crossed that single week milestone since June.",Zohran Mamdani
"Great to be in Greenpoint the other night talking with neighbors who want real change at City Hall. 

I’m running to be the People’s Mayor for all New Yorkers. 

Thank you to Ted and Nora for organizing and to everyone who came out. We’re going to win this together!",Curtis Sliwa
"We are African. We are New York City. And we are voters.""""",Zohran Mamdani
"“Cuomo represents safety, resilience, and a fighting chance.

The choice is binary. The consequences are existential.”",Andrew Cuomo
"Last week, I had the honor to meet with Rabbi Niederman, president of  (UJO) which has served Williamsburg families since 1966, together with leaders of the Satmar community.

Yesterday, I visited the Sukkah of board member Abe Deutch, where we were joined by many",Zohran Mamdani
"Happy National Wife Appreciation Day! When I married Nancy, it was the best day of my life. In my hardest hours, she has always been at my side. When I was dying of Chron’s disease she nursed me back to health. Her patience and calmness 
has been the steadying hand in our",Curtis Sliwa
"It was wonderful meeting this morning with the community leaders and residents of Borough Park. Together, our efforts will make a real difference and help save this city.

#VoteforCuomo",Andrew Cuomo
Thank you Mario’s Meats & Gourmet Deli in Middle Village for unveiling “The Curtis Sliwa Hero.” Your support and love mean the world. Let’s win this together! 💪🗽,Curtis Sliwa
"“Outside the Ganesh Temple, [70 year old] Deepak Mehta said he was excited for Mamdani to become mayor due to his promise to freeze the rent. 

‘I will vote for Mamdani because his policies will stop my landlord from causing problems for me,’ he said.”",Zohran Mamdani
"my brother, this isn’t garlic and we’re not vampires",Zohran Mamdani
"Campaigning today with the Dominican American Republican Club, in Washington Heights and the Bronx.

#LatinosforSliwa",Curtis Sliwa
"It was a privilege to celebrate the Mid-Autumn Festival in Brooklyn with New York’s Chinese community! 

The Chinese community has given so much to our city through hard work, dedication, and pride. As mayor, I will stand shoulder to shoulder with them to make sure they are",Curtis Sliwa
Make sure to vote,Curtis Sliwa
"We can and will bring public safety to #NYC

Read the plans:


",Curtis Sliwa
"Then off to the Bronx to rally with Borough President Vanessa L. Gibson, , , , , ,  and more elected, community and labor leaders!In Washington Heights to get out of the vote with @EspaillatNY, @CnDelarosa, @ShaunAbreu, @ChrisMarteNYC, @PiSanchezNYC, @OswaldFeliz, @MannyDeLosSanto, @GALVAREZNYC, @assemblymanalt1 + leaders and members of @DC37nyc, @UFT and @unitehere100!",Zohran Mamdani
,Zohran Mamdani
