Name,Manufacturer_Type,Parent_Company_HQ,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Drive_Wheels_Max
GMC Yukon,Domestic,USA,SUV,"Rear, AWD, 4",8,5.3,355,204,81,74,116,5635,47.5,16,49600,All
GMC Yuk XL,Domestic,USA,SUV,"Rear, AWD, 4",9,5.3,355,224,81,74,130,5945,62.5,16,52400,All
Jeep Wrangler,Domestic,USA,SUV,4WD,5,2,270,188,74,74,118,4440,41.5,18,28045,Four
Kia K900,Foreign,Korea,Sedan,4WD,5,3.3,365,202,75,59,122,4735,15,21,59900,Four
Land Rover Range Rover,Foreign,India,SUV,4WD,5,2,254,197,78,72,115,5300,34.7,17,89500,Four
Land Rover Range Rover Sport,Foreign,India,SUV,4WD,7,2,398,191,78,70,115,5255,31.5,18,68650,Four
Lexus GX,Foreign,Japan,SUV,4WD,7,4.6,301,192,74,74,110,5170,36.5,17,52500,Four
Fiat 500x,Domestic,USA,SUV,AWD,5,1.3,177,167,71,64,101,3280,19.5,23,24490,All
Tesla Model 5,Domestic,USA,Sedan,AWD,5,0,417,196,77,57,117,4595,32,102,75000,All
Tesla Model X,Domestic,USA,SUV,AWD,6,0,417,198,82,64,117,5415,26,87,81000,All
Audi A5,Foreign,Germany,Coupe,AWD,4,2,248,184,73,54,109,3550,12,27,44200,All
Audi A7,Foreign,Germany,Hatchback,AWD,5,3,335,196,75,56,115,4235,19,25,68000,All
Audi A8,Foreign,Germany,Sedan,AWD,5,3,335,209,77,59,123,4810,13,21,83800,All
Audi E-Tron,Foreign,Germany,SUV,AWD,5,0,335,193,76,66,115,5795,28.5,74,74800,All
Audi Q3,Foreign,Germany,SUV,AWD,5,2,228,177,73,62,106,3905,23.7,22,34700,All
Audi Q5,Foreign,Germany,SUV,AWD,5,2,248,184,75,65,111,4140,27,24,42950,All
Audi Q7,Foreign,Germany,SUV,AWD,5,2,248,200,78,69,118,5080,35.5,20,53550,All
Audi Q8,Foreign,Germany,SUV,AWD,5,3,335,197,79,67,118,5000,30.5,19,67400,All
Audi TT,Foreign,Germany,SUV,AWD,4,2,228,165,72,53,99,3160,12,26,44900,All
BMW X4,Foreign,Germany,SUV,AWD,5,2,248,188,76,64,113,4145,19,25,50450,All
BMW X7,Foreign,Germany,SUV,AWD,5,3,335,203,79,71,122,5285,26,22,73900,All
Jaguar E-Pace,Foreign,India,SUV,AWD,5,2,246,173,82,65,106,4130,21.5,21,38900,All
Jaguar F-Pace,Foreign,India,SUV,AWD,5,2,180,186,87,66,113,4350,28.5,20,44800,All
Jaguar I-Pace,Foreign,India,SUV,AWD,5,0,394,184,75,61,118,4920,25.5,76,69500,All
Land Rover Discovery,Foreign,India,SUV,AWD,7,3,254,196,82,74,115,5405,42.5,17,52950,All
Land Rover Discovery Sport,Foreign,India,SUV,AWD,7,2,246,181,82,68,108,4325,33,21,37990,All
Land Rover Range Rover Evoque,Foreign,India,SUV,AWD,5,2,246,172,79,65,106,3935,21.5,23,42650,All
Land Rover Range Rover Velar,Foreign,India,SUV,AWD,5,2,180,189,80,66,113,4350,29,21,49950,All
Maserati Levante,Foreign,Italy,SUV,AWD,5,3,345,197,78,66,118,4905,20.5,16,75980,All
Mercedes-Benz GLS,Foreign,Germany,SUV,AWD,7,3,362,205,77,73,123,5660,16,18,75200,All
Porsche Cayenne,Foreign,Germany,SUV,AWD,5,2.9,434,194,78,67,114,4680,32,21,65700,All
Porsche Macan,Foreign,Germany,SUV,AWD,5,2,248,185,76,64,111,4410,29,19,49900,All
Subaru Accent,Foreign,Japan,SUV,AWD,7,2.4,260,197,76,72,114,4550,40.5,22,31995,All
Subaru Crosstrek,Foreign,Japan,SUV,AWD,5,2,148,176,71,64,105,3190,27.5,29,21895,All
Subaru Forester,Foreign,Japan,SUV,AWD,5,2.5,182,182,72,68,108,3485,36.5,28,24295,All
Subaru Impreza,Foreign,Japan,Sedan,AWD,5,2,152,182,70,57,105,2085,12,30,18595,All
Subaru Legacy,Foreign,Japan,Sedan,AWD,5,2.4,260,189,72,59,108,3499,15,31,24000,All
Subaru Outback,Foreign,Japan,Wagon,AWD,5,2.4,260,191,73,66,108,3634,32.5,29,26000,All
Subaru WRX,Foreign,Japan,Sedan,AWD,5,2,268,180,69,58,103,3320,11,26,27195,All
Volkswagen Golf Alltrack,Foreign,Germany,Wagon,AWD,5,1.8,168,180,71,60,104,3465,30.5,25,26895,All
Chevrolet Bolt,Domestic,USA,Hatchback,Front,5,0,200,164,70,63,102,3545,17,119,36620,Front
Chevrolet Malibu,Domestic,USA,Sedan,Front,5,1.5,160,194,73,58,112,3125,16,32,22095,Front
Chevrolet Sonic,Domestic,USA,Sedan,Front,5,1.4,138,174,68,60,99,2765,15,28,15420,Front
Chevrolet Spark,Domestic,USA,Hatchback,Front,4,1.4,98,143,63,58,94,2280,11,33,13220,Front
Chrysler Pacifica,Domestic,USA,Minivan,Front,8,3.6,248,204,80,70,122,4535,66,24,26995,Front
Acura ILX,Foreign,Japan,Sedan,Front,5,2.4,201,182,71,56,105,3095,12,28,30000,Front
Fiat 500,Foreign,Italy,Hatchback,Front,4,0,111,144,64,59,91,2565,10,28,33300,Front
Fiat 500L,Foreign,Italy,Hatchback,Front,5,1.4,160,167,70,66,103,3330,22.5,27,21910,Front
Honda Accord,Foreign,Japan,Sedan,Front,5,1.5,192,192,73,57,111,3155,17,36,23720,Front
Honda Civic,Foreign,Japan,Sedan,Front,5,1.5,174,182,71,56,106,2745,13,32.5,19450,Front
Honda Clarity,Foreign,Japan,Sedan,Front,5,0,161,193,74,58,108,4045,16,39,33400,Front
Honda Fit,Foreign,Japan,Hatchback,Front,5,1.5,128,161,67,60,99,2625,17,33,16190,Front
Honda Insight,Foreign,Japan,Sedan,Front,5,0,151,194,72,56,106,2975,15,54,22930,Front
Honda Odyssey,Foreign,Japan,Minivan,Front,8,3.3,280,203,79,68,118,4490,71.5,22,30190,Front
Honda Accent,Foreign,Japan,Sedan,Front,5,1.6,130,173,68,57,102,2625,14,33,14995,Front
Hyundai Elantra,Foreign,Korea,Sedan,Front,5,1.4,128,182,71,57,106,2865,14,33,18950,Front
Hyundai Ioniq,Foreign,Korea,Hatchback,Front,5,0,118,176,72,57,106,3070,19.5,52,30200,Front
Hyundai Sonata,Foreign,Korea,Sedan,Front,5,1.6,180,193,73,57,112,3247,16,33,23300,Front
Hyundai Veloster,Foreign,Korea,Hatchback,Front,4,1.6,201,167,71,55,104,2795,20,29,18500,Front
Kia Cadenza,Foreign,Korea,Sedan,Front,5,3.3,290,196,74,58,112,3725,16,24,33100,Front
Kia Forte,Foreign,Korea,Sedan,Front,5,2,147,183,71,57,106,2805,15,34,17790,Front
Kia Niro,Foreign,Korea,Wagon,Front,5,0,201,172,71,60,106,3155,19,43,38500,Front
Kia Optima,Foreign,Korea,Sedan,Front,5,1.6,178,191,73,58,110,3300,16,28,22990,Front
Kia Rio,Foreign,Korea,Sedan,Front,5,1.6,130,173,68,57,102,2575,14,33,15390,Front
Kia Sedona,Foreign,Korea,Minivan,Front,8,3.3,276,201,78,69,121,4595,46,20,27200,Front
Kia Soul,Foreign,Korea,Wagon,Front,5,0,201,165,71,63,102,2995,24,108,33950,Front
Lexus ES,Foreign,Japan,Sedan,Front,5,2.5,215,196,73,57,113,3770,17,25,39750,Front
Mazda 6,Foreign,Japan,Sedan,Front,5,2.5,186,192,72,57,111,3405,15,28,23800,Front
Mini Cooper,Foreign,Germany,Hatchback,Front,4,1.5,134,151,68,56,98,2775,9,30,21900,Front
Mitsubishi Mirage,Foreign,Japan,SUV,Front,5,1.2,78,149,66,59,97,2085,17,37,13795,Front
Nissan Kicks,Foreign,Japan,Wagon,Front,5,1.6,125,169,69,62,103,2630,25,32,18640,Front
Nissan Leaf,Foreign,Japan,Hatchback,Front,5,0,147,176,71,61,106,3440,24,112,29690,Front
