model_name,brand,processor_name,ram,ssd,OperatingSystem,screen_size,no_of_cores
Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo,11th Gen Core i3,8,512,Windows,15.6,2
HP Pavilion 15-ec2004AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,Windows,15.6,6
Lenovo V15 82KBA03HIH Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus,Ryzen 5-5600H,8,512,Windows,16,6
HP 15s-fr4000TU Laptop,HP,11th Gen Core i5,8,512,Windows,15.6,4
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo,11th Gen Core i5,8,256,Windows,15.6,4
Infinix Zero Book Ultra Laptop,Infinix,12th Gen Core i9,16,512,Windows,15.6,14
HP 15s-eq1559AU Laptop,HP,AMD Athlon Silver 3050U,8,512,Windows,15.6,2
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i3,8,512,Windows,15.6,6
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,512,Windows,15.56,2
Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,Asus,Ryzen 7 5800H,16,512,Windows,15.6,8
Apple MacBook Air 2020 MGND3HN Laptop,Apple,Apple M1,8,256,Mac,13.3,8
HP 15s-fq5007TU Laptop,HP,12th Gen Core i3,8,512,Windows,15.6,6
HP 15s-fq5111TU Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,10
Dell Inspiron 3520 D560871WIN9B Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,Windows,15.6,6
HP 15s-er1501AU Laptop,HP,AMD Ryzen 3 3250U,8,256,Windows,15.6,2
HP Victus 15-fb0040AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,Windows,15.6,6
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,Windows,14,4
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop,Asus,Ryzen 5-5600H,16,512,Windows,16,6
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,256,Mac,13.6,8
Asus VivoBook 14 X415JA-BV301WS Laptop,Asus,10th Gen Core i3,8,0,Windows,14,2
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,Windows,15.6,2
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Lenovo V15 82KDA00XIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,Windows,14,2
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,Windows,15.6,2
