x,f(x),evenly_spaced_n10,evenly_spaced_n10_absolute_error,chebyshev_n10,chebyshev_n10_absolute_error,evenly_spaced_n20,evenly_spaced_n20_absolute_error,chebyshev_n20,chebyshev_n20_absolute_error
-1.000000000000000000e+00,2.718281828459045091e+00,2.718281828459045091e+00,0.000000000000000000e+00,2.731009612229940320e+00,1.272778377089522905e-02,2.718281828459045091e+00,0.000000000000000000e+00,2.714739618090656670e+00,3.542210368388420960e-03
-9.899999999999999911e-01,2.691234472349262052e+00,2.454741740168315367e+00,2.364927321809466854e-01,2.691412555901790959e+00,1.780835525289070631e-04,7.019737142351154091e+01,6.750613695116227575e+01,2.694760564074168308e+00,3.526091724906255109e-03
-9.799999999999999822e-01,2.664456241929416880e+00,2.254480443367676834e+00,4.099757985617400458e-01,2.656785527400438163e+00,7.670714528978717084e-03,9.527464660135511565e+01,9.261019035942570099e+01,2.666205323345453682e+00,1.749081416036801784e-03
-9.699999999999999734e-01,2.637944459354152560e+00,2.107287284392919346e+00,5.306571749612332134e-01,2.626100940338671474e+00,1.184351901548108543e-02,9.580244447154585430e+01,9.316450001219169508e+01,2.636375273438897882e+00,1.569185915254678321e-03
-9.599999999999999645e-01,2.611696473423117837e+00,2.004143564111919407e+00,6.075529093111984302e-01,2.598480254898661634e+00,1.321621852445620249e-02,8.362308811291771349e+01,8.101139163949459032e+01,2.608201250791054360e+00,3.495222632063477164e-03
-9.499999999999999556e-01,2.585709659315845954e+00,1.937117751810949695e+00,6.485919075048962590e-01,2.573178699958484472e+00,1.253095935736148192e-02,6.628108167091055236e+01,6.369537201159470641e+01,2.582258754465678763e+00,3.450904850167191285e-03
-9.399999999999999467e-01,2.559981418329271285e+00,1.899267663248132232e+00,6.607137550811390536e-01,2.549571119980556855e+00,1.041029834871443072e-02,4.831204775642316207e+01,4.575206633809388990e+01,2.558038664787940952e+00,1.942753541330333178e-03
-9.299999999999999378e-01,2.534509177617854547e+00,1.884549260213153943e+00,6.499599174047006045e-01,2.527138887697821801e+00,7.370289920032746522e-03,3.220032055674928273e+01,2.966581137913142641e+01,2.534699494963030819e+00,1.903173451762718571e-04
-9.200000000000000400e-01,2.509290389936297938e+00,1.887731740799786007e+00,6.215586491365119315e-01,2.505457825748336198e+00,3.832564187961740032e-03,1.907947279407507679e+01,1.657018240413878019e+01,2.511469867299253256e+00,2.179477362955317687e-03
-9.100000000000000311e-01,2.484322533384816456e+00,1.904318601205736705e+00,5.800039321790797509e-01,2.484187082476807973e+00,1.354509080084831396e-04,9.235414109810482941e+00,6.751091576425666929e+00,2.487824854203600111e+00,3.502320818783655199e-03
-9.000000000000000222e-01,2.459603111156949851e+00,1.930474361224756796e+00,5.291287499321930543e-01,2.463058909143000186e+00,3.455797986050335169e-03,2.459603111156949851e+00,0.000000000000000000e+00,2.463524815780389954e+00,3.921704623440103177e-03
-8.900000000000000133e-01,2.435129651289874353e+00,1.962956656692218305e+00,4.721729945976560483e-01,2.441869287752258089e+00,6.739636462383735704e-03,-1.710024920448774965e+00,4.145154571738649096e+00,2.438578514027378574e+00,3.448862737504221343e-03
-8.800000000000000044e-01,2.410899706417209742e+00,1.999053412989481915e+00,4.118462934277278276e-01,2.420469360653247470e+00,9.569654236037727912e-03,-3.830935352904720759e+00,6.241835059321930501e+00,2.413172001578083314e+00,2.272295160873571973e-03
-8.699999999999999956e-01,2.386910853524276455e+00,2.036524824308100889e+00,3.503860292161755652e-01,2.398757614932827131e+00,1.184676140855067672e-02,-4.457793608133582275e+00,6.844704461657858729e+00,2.387589743539941800e+00,6.788900156653454587e-04
-8.599999999999999867e-01,2.363160693705794735e+00,2.073549873723703030e+00,2.896108199820917051e-01,2.376672776478226279e+00,1.351208277243154399e-02,-4.086624109562677631e+00,6.449784803268472366e+00,2.362143530883022979e+00,1.017162822771755515e-03
-8.499999999999999778e-01,2.339646851925990756e+00,2.108677139235007214e+00,2.309697126909835418e-01,2.354187370372945232e+00,1.454051844695447571e-02,-3.128025267400854847e+00,5.467672119326845603e+00,2.337117071874278196e+00,2.529780051712560152e-03
-8.399999999999999689e-01,2.316366976781091491e+00,2.140779640788100124e+00,1.755873359929913669e-01,2.331301906045474048e+00,1.493492926438255708e-02,-1.899517835276623989e+00,4.215884812057715259e+00,2.312728957343125114e+00,3.638019437966377723e-03
-8.299999999999999600e-01,2.293318740264182587e+00,2.169013492932606368e+00,1.243052473315762185e-01,2.308039647299546804e+00,1.472090703536421685e-02,-6.297623972209990262e-01,2.923081137485181724e+00,2.289113378988098635e+00,4.205361276083952049e-03
-8.200000000000000622e-01,2.270499837532406140e+00,2.192780137147539499e+00,7.771970038486664123e-02,2.284441929021728157e+00,1.394209148932201714e-02,5.305503220459334424e-01,1.739949515486472809e+00,2.266316048658362003e+00,4.183788874044136463e-03
-8.100000000000000533e-01,2.247907986676471737e+00,2.211691937033002819e+00,3.621604964346891720e-02,2.260563983987065040e+00,1.265599731059330324e-02,1.494743976211504899e+00,7.531640104649668377e-01,2.244301831261874991e+00,3.606155414596745601e-03
-8.000000000000000444e-01,2.225540928492467874e+00,2.225540928492467874e+00,0.000000000000000000e+00,2.236471244767002098e+00,1.093031627453422416e-02,2.225540928492467874e+00,0.000000000000000000e+00,2.222970358565953930e+00,2.570569926513943670e-03
-7.900000000000000355e-01,2.203396426255936902e+00,2.234270525731546275e+00,3.087409947560937340e-02,2.212236087286020503e+00,8.839661030083600934e-03,2.721296841047172510e+00,5.179004147912356082e-01,2.202176098639548663e+00,1.220327616388239278e-03
-7.800000000000000266e-01,2.181472265498201057e+00,2.237949992375902308e+00,5.647772687770125088e-02,2.187934984075194933e+00,6.462718576993875530e-03,3.003944979379000735e+00,8.224727138807996774e-01,2.181749835890061107e+00,2.775703918600491704e-04
-7.700000000000000178e-01,2.159766253784915158e+00,2.236751495265871359e+00,7.698524148095620134e-02,2.163646036732486788e+00,3.879782947571630558e-03,3.109049003429510183e+00,9.492827496445950253e-01,2.161519135829525595e+00,1.752882044610437617e-03
-7.600000000000000089e-01,2.138276220496818425e+00,2.230929566521212326e+00,9.265334602439390110e-02,2.139446858521559580e+00,1.170638024741155192e-03,3.078049055090522401e+00,9.397728345937039762e-01,2.141326030592939578e+00,3.049810096121152725e-03
-7.500000000000000000e-01,2.117000016612674784e+00,2.220802807288872138e+00,1.038027906761973540e-01,2.115412779423799350e+00,1.587237188875434413e-03,2.952583319374057158e+00,8.355833027613823738e-01,2.121040799432230450e+00,4.040782819555666094e-03
-7.399999999999999911e-01,2.095935514494364327e+00,2.206737674192538190e+00,1.108021596981738632e-01,2.091615347302456573e+00,4.320167191907753335e-03,2.770647444002570126e+00,6.747119295082057988e-01,2.100571290006632008e+00,4.635775512267681364e-03
-7.299999999999999822e-01,2.075080607674122390e+00,2.189134196897668971e+00,1.140535892235465809e-01,2.068121100143947011e+00,6.959507530175379486e-03,2.564294549119179756e+00,4.892139414450573653e-01,2.079867706484000323e+00,4.787098809877932126e-03
-7.199999999999999734e-01,2.054433210643887620e+00,2.168413482392441249e+00,1.139802717485536299e-01,2.044990585609796518e+00,9.442625034091101099e-03,2.358561168377961703e+00,3.041279577340740836e-01,2.058923168120224467e+00,4.489957476336847719e-03
-7.099999999999999645e-01,2.033991258646750566e+00,2.145006868566358804e+00,1.110156099196082380e-01,2.022277605364033448e+00,1.171365328271711803e-02,2.171315450206343645e+00,1.373241915595930784e-01,2.037770615956787879e+00,3.779357310037312345e-03
-6.999999999999999556e-01,2.013752707470476633e+00,2.119346596446770370e+00,1.055938889762937372e-01,2.000028662835490856e+00,1.372404463498577698e-02,2.013752707470476633e+00,0.000000000000000000e+00,2.016476821448106804e+00,2.724113977630171490e-03
-6.899999999999999467e-01,1.993715533243082261e+00,2.091857877032078594e+00,9.814234378899633349e-02,1.978282594232939617e+00,1.543293901014264335e-02,1.891301998380097826e+00,1.024135348629844344e-01,1.995134339700579185e+00,1.418806457496923912e-03
-6.799999999999999378e-01,1.973877732230447490e+00,2.062952235041598748e+00,8.907450281115125712e-02,1.957070363753798059e+00,1.680736847664943134e-02,1.804750066345408577e+00,1.691276658850389136e-01,1.973852264802352430e+00,2.546742809506064020e-05
-6.699999999999999289e-01,1.954237320635939357e+00,2.033022018088655347e+00,7.878469745271599045e-02,1.936415005014777480e+00,1.782231562116187717e-02,1.751431591617396810e+00,2.028057290185425465e-01,1.952746599933493421e+00,1.490720702445935686e-03
-6.599999999999999201e-01,1.934792334402031466e+00,2.002435965778262883e+00,6.764363137623141675e-02,1.916331691785737812e+00,1.846064261629365433e-02,1.726374591092817434e+00,2.084177433092140319e-01,1.931930965206119399e+00,2.861369195912066843e-03
-6.499999999999999112e-01,1.915540829013895996e+00,1.971535739036343493e+00,5.599491002244749716e-02,1.896827922126771204e+00,1.871290688712479167e-02,1.723325265619450208e+00,1.922155633944457875e-01,1.911508245465520117e+00,4.032583548375878735e-03
