Name,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Parent_Company_HQ,Manufacturer_Type
Acura ILX,Sedan,Front,5,2.4,201,182,71,56,105,3095,12,28,30000,Japan,Foreign
Acura MDX,SUV,"Front, AWD",7,3,321,196,77,67,111,4200,34,21,44300,Japan,Foreign
Acura RDX,SUV,"Front, AWD",5,2,272,187,74,66,108,4005,33,22,37600,Japan,Foreign
Acura RLX,Sedan,"Front, AWD",5,3.5,310,198,74,58,112,3930,15,23,54900,Japan,Foreign
Acura TLX,Sedan,"Front, AWD",5,2.4,206,190,74,57,109,3480,13,26,33000,Japan,Foreign
Alfa Romeo Giulia,Sedan,"Rear, AWD",5,2,280,183,74,57,111,3695,12,27,38295,Italy,Foreign
Alfa Romeo Stelvio,SUV,"Rear, AWD",5,2,280,185,75,65,111,4020,26.5,24,40295,Italy,Foreign
Audi A3,Sedan,"Front, AWD",5,2,184,175,70,56,104,3135,13,27,33300,Germany,Foreign
Audi A4,Sedan,"Front, AWD",5,2,188,186,73,56,111,3630,13,27,39200,Germany,Foreign
Audi A5,Coupe,AWD,4,2,248,184,73,54,109,3550,12,27,44200,Germany,Foreign
Audi A6,Sedan,AWD,5,3,335,195,74,57,115,4265,14,NA,58900,Germany,Foreign
Audi A7,Hatchback,AWD,5,3,335,196,75,56,115,4235,19,25,68000,Germany,Foreign
Audi A8,Sedan,AWD,5,3,335,209,77,59,123,4810,13,21,83800,Germany,Foreign
Audi E-Tron,SUV,AWD,5,NA,335,193,76,66,115,5795,28.5,74,74800,Germany,Foreign
Audi Q3,SUV,AWD,5,2,228,177,73,62,106,3905,23.7,22,34700,Germany,Foreign
Audi Q5,SUV,AWD,5,2,248,184,75,65,111,4140,27,24,42950,Germany,Foreign
Audi Q7,SUV,AWD,5,2,248,200,78,69,118,5080,35.5,20,53550,Germany,Foreign
Audi Q8,SUV,AWD,5,3,335,197,79,67,118,5000,30.5,19,67400,Germany,Foreign
Audi TT,SUV,AWD,4,2,228,165,72,53,99,3160,12,26,44900,Germany,Foreign
BMW 2 Series,Coupe,"Rear, AWD",4,2,248,175,70,56,106,3450,14,25,35300,Germany,Foreign
BMW 3 Series,Sedan,"Rear, AWD",5,2,255,186,72,57,112,3640,17,29,40250,Germany,Foreign
BMW 4 Series,Coupe,"Rear, AWD",4,2,248,183,72,54,111,3470,16,27,44600,Germany,Foreign
BMW 5 Series,Sedan,"Rear, AWD",5,2,248,195,74,58,117,3950,19,26,53400,Germany,Foreign
BMW 6 Series,Sedan,"Rear, AWD",5,3,315,193,75,54,112,4355,13,20,70300,Germany,Foreign
BMW 7 Series,Sedan,"Rear, AWD",5,2,322,207,75,58,126,4710,18,21,83650,Germany,Foreign
BMW i3,Hatchback,Rear,4,NA,170,157,70,62,101,3140,12,113,44450,Germany,Foreign
BMW X1,SUV,"Front, AWD",5,2,228,175,72,63,105,3725,27,26,34950,Germany,Foreign
BMW X2,SUV,"Front, AWD",5,2,228,172,72,60,105,3645,23.5,25,36400,Germany,Foreign
BMW X3,SUV,"Rear, AWD",5,2,248,186,74,66,113,4220,32,24,41000,Germany,Foreign
BMW X4,SUV,AWD,5,2,248,188,76,64,113,4145,19,25,50450,Germany,Foreign
BMW X5,SUV,"Rear, AWD",5,3,335,194,79,69,117,4740,36.5,23,60700,Germany,Foreign
BMW X6,SUV,"Rear, AWD",5,3,300,192,78,67,116,4750,26.6,20,63550,Germany,Foreign
