"Name","Car_Type","Drive_Wheels_Available","Seating","Engine_liter","HP","Length_in","Width_in","Height_in","Wheelbase_in","Weight_lbs","Cargo_Volume_cuft","Overall_MPG","Lowest_MSRP","Parent_Company_HQ","Manufacturer_Type","spread","Weight_category"
"Mini Cooper Clubman","Wagon","Front, AWD",5,1.5,134,168,71,57,105,3175,23,28,24900,"Germany","Foreign",63,"Light"
"Fiat 500x","SUV","AWD",5,1.3,177,167,71,64,101,3280,19.5,23,24490,"USA","Domestic",66,"Light"
"Subaru Forester","SUV","AWD",5,2.5,182,182,72,68,108,3485,36.5,28,24295,"Japan","Foreign",74,"Light"
"Chevrolet Equinox","SUV","Front, AWD",5,1.5,170,183,73,65,107,3540,32,31,23800,"USA","Domestic",76,"Moderate"
"Mitsubishi Eclipse Cross","SUV","Front, AWD",5,1.5,152,173,71,67,105,3515,22.5,24,23595,"Japan","Foreign",68,"Moderate"
"Hyundai Sonata","Sedan","Front",5,1.6,180,193,73,57,112,3247,16,33,23300,"Korea","Foreign",81,"Light"
"Buick Encore","SUV","Front, AWD",5,1.4,138,168,70,65,101,3355,26,23,23200,"USA","Domestic",67,"Light"
"Hyundai Tucson","SUV","Front, AWD",5,2,164,176,73,65,105,3520,29.5,23,23200,"Korea","Foreign",71,"Moderate"
"Kia Optima","Sedan","Front",5,1.6,178,191,73,58,110,3300,16,28,22990,"Korea","Foreign",81,"Light"
"Honda Insight","Sedan","Front",5,0,151,194,72,56,106,2975,15,54,22930,"Japan","Foreign",88,"Light"
"Ford Fusion","Sedan","Front, AWD",5,1.5,181,193,73,58,112,3505,16,25,22840,"USA","Domestic",81,"Moderate"
"Nissan Rogue Sport","SUV","Front, AWD",5,2,141,172,72,63,104,3365,24.5,26,22340,"Japan","Foreign",68,"Light"
"Chevrolet Malibu","Sedan","Front",5,1.5,160,194,73,58,112,3125,16,32,22095,"USA","Domestic",82,"Light"
"Jeep Renegade","SUV","Front, AWD",5,1.3,177,167,71,66,101,3360,30.5,24,22025,"USA","Domestic",66,"Light"
"Fiat 500L","Hatchback","Front",5,1.4,160,167,70,66,103,3330,22.5,27,21910,"Italy","Foreign",64,"Light"
"Mini Cooper","Hatchback","Front",4,1.5,134,151,68,56,98,2775,9,30,21900,"Germany","Foreign",53,"Light"
"Subaru Crosstrek","SUV","AWD",5,2,148,176,71,64,105,3190,27.5,29,21895,"Japan","Foreign",71,"Light"
"Jeep Compass","SUV","Front, AWD, 4WD",5,2.4,180,173,74,65,104,3525,27.5,24,21845,"USA","Domestic",69,"Moderate"
"Toyota C-HR","Wagon","Front",5,2,144,171,71,62,104,3290,19.5,39,21145,"Japan","Foreign",67,"Light"
"Mitsubishi Outlander Sport","SUV","Front, AWD",5,2,148,169,70,64,105,3290,25.5,26,20945,"Japan","Foreign",64,"Light"
"Honda HR-V","SUV","Front, AWD",5,1.8,141,169,72,56,106,3045,32,29,20520,"Japan","Foreign",63,"Light"
"Ford EcoSport","SUV","Front, AWD",5,1,123,161,70,65,99,3390,22.5,24,20485,"USA","Domestic",62,"Light"
"Hyundai Kona","SUV","Front, AWD",5,1.6,75,164,71,61,102,3145,22.5,27.5,19990,"Korea","Foreign",62,"Light"
"Toyota Corolla","Sedan","Front",5,1.8,121,183,70,57,106,2960,13,32,19500,"Japan","Foreign",77,"Light"
"Honda Civic","Sedan","Front",5,1.5,174,182,71,56,106,2745,13,32.5,19450,"Japan","Foreign",76,"Light"
"Hyundai Elantra","Sedan","Front",5,1.4,128,182,71,57,106,2865,14,33,18950,"Korea","Foreign",76,"Light"
"Volkswagen Jetta","Sedan","Front",5,1.4,147,185,71,57,106,3065,16,34,18745,"Germany","Foreign",79,"Light"
"Nissan Kicks","Wagon","Front",5,1.6,125,169,69,62,103,2630,25,32,18640,"Japan","Foreign",66,"Light"
"Subaru Impreza","Sedan","AWD",5,2,152,182,70,57,105,2085,12,30,18595,"Japan","Foreign",77,"Light"
"Kia Forte","Sedan","Front",5,2,147,183,71,57,106,2805,15,34,17790,"Korea","Foreign",77,"Light"
"Honda Fit","Hatchback","Front",5,1.5,128,161,67,60,99,2625,17,33,16190,"Japan","Foreign",62,"Light"
"Toyota Yaris","Sedan","Front",5,1.5,106,172,67,59,101,2420,13,35,15600,"Japan","Foreign",71,"Light"
"Chevrolet Sonic","Sedan","Front",5,1.4,138,174,68,60,99,2765,15,28,15420,"USA","Domestic",75,"Light"
"Kia Rio","Sedan","Front",5,1.6,130,173,68,57,102,2575,14,33,15390,"Korea","Foreign",71,"Light"
"Honda Accent","Sedan","Front",5,1.6,130,173,68,57,102,2625,14,33,14995,"Japan","Foreign",71,"Light"
"Nissan Versa","Sedan","Front",5,1.6,122,175,67,60,102,2494,38.3,34,14730,"Japan","Foreign",73,"Light"
"Mitsubishi Mirage","SUV","Front",5,1.2,78,149,66,59,97,2085,17,37,13795,"Japan","Foreign",52,"Light"
"Chevrolet Spark","Hatchback","Front",4,1.4,98,143,63,58,94,2280,11,33,13220,"USA","Domestic",49,"Light"
