Exam,HW
66,83
96,97
76,38
92,91
81,96
83,97
89,100
70,97
80,96
87,100
79,99
66,90
88,99
50,91
83,100
80,97
74,90
93,98
90,100
45,59
80,100
74,90
84,98
83,95
96,98
69,98
71,94
91,100
92,100
59,98
78,98
59,90
56,99
64,97
82,95
91,99
59,86
69,98
86,100
73,97
83,93
63,95
90,99
55,96
75,98
65,96
63,79
100,98
79,99
71,85
49,29
70,100
99,100
72,96
91,80
62,100
100,100
77,95
38,92
88,100
79,78
92,100
73,96
92,98
97,100
94,99
63,99
72,93
79,100
65,97
53,96
45,96
64,97
59,95
89,100
56,96
72,99
62,74
75,96
77,93
82,100
76,99
81,100
70,100
60,96
84,100
89,100
93,95
79,98
97,100
65,100
77,100
64,98
71,91
78,100
48,95
97,98
89,93
93,100
65,97
67,100
83,97
61,96
76,94
78,100
84,100
38,100
80,100
90,100
53,100
100,100
85,98
46,87
79,100
63,94
77,98
75,97
59,100
96,98
