Total_Crash_Deaths,Belt_Type,Temperature
26,Not Rekt-M8,Cold
38,Not Rekt-M8,Cold
29,Not Rekt-M8,Hot
35,Not Rekt-M8,Hot
15,Not Rekt-M8,Warm
11,Not Rekt-M8,Warm
22,Not Rekt-M8,Cold
22,Not Rekt-M8,Cold
10,Not Rekt-M8,Hot
22,Not Rekt-M8,Hot
11,Not Rekt-M8,Warm
28,Not Rekt-M8,Warm
26,Not Rekt-M8,Cold
38,Not Rekt-M8,Cold
29,Not Rekt-M8,Hot
35,Not Rekt-M8,Hot
15,Not Rekt-M8,Warm
11,Not Rekt-M8,Warm
22,Not Rekt-M8,Cold
22,Not Rekt-M8,Cold
10,Not Rekt-M8,Hot
22,Not Rekt-M8,Hot
11,Not Rekt-M8,Warm
28,Not Rekt-M8,Warm
28,Not Rekt-M8,Cold
26,Not Rekt-M8,Cold
38,Not Rekt-M8,Hot
26,Not Rekt-M8,Hot
38,Not Rekt-M8,Warm
29,Not Rekt-M8,Warm
35,Not Rekt-M8,Cold
15,Not Rekt-M8,Cold
11,Not Rekt-M8,Hot
22,Not Rekt-M8,Hot
22,Not Rekt-M8,Warm
10,Not Rekt-M8,Warm
22,Not Rekt-M8,Cold
11,Not Rekt-M8,Cold
28,Not Rekt-M8,Hot
26,Not Rekt-M8,Hot
38,Not Rekt-M8,Warm
29,Not Rekt-M8,Warm
35,Not Rekt-M8,Cold
15,Not Rekt-M8,Cold
11,Not Rekt-M8,Hot
22,Not Rekt-M8,Hot
22,Not Rekt-M8,Warm
10,Not Rekt-M8,Warm
22,Not Rekt-M8,Cold
11,Not Rekt-M8,Cold
28,Not Rekt-M8,Hot
28,Not Rekt-M8,Hot
26,Not Rekt-M8,Warm
38,Not Rekt-M8,Warm
15,Mum-Rah Everliving,Cold
11,Mum-Rah Everliving,Cold
22,Mum-Rah Everliving,Hot
22,Mum-Rah Everliving,Hot
26,Mum-Rah Everliving,Warm
38,Mum-Rah Everliving,Warm
29,Mum-Rah Everliving,Cold
35,Mum-Rah Everliving,Cold
20,Mum-Rah Everliving,Hot
10,Mum-Rah Everliving,Hot
5,Mum-Rah Everliving,Warm
2,Mum-Rah Everliving,Warm
5,Mum-Rah Everliving,Cold
3,Mum-Rah Everliving,Cold
40,Mum-Rah Everliving,Hot
2,Mum-Rah Everliving,Hot
2,Mum-Rah Everliving,Warm
1,Mum-Rah Everliving,Warm
3,Mum-Rah Everliving,Cold
5,Mum-Rah Everliving,Cold
2,Mum-Rah Everliving,Hot
5,Mum-Rah Everliving,Hot
3,Mum-Rah Everliving,Warm
40,Mum-Rah Everliving,Warm
2,Mum-Rah Everliving,Cold
2,Mum-Rah Everliving,Cold
1,Mum-Rah Everliving,Hot
15,Mum-Rah Everliving,Hot
11,Mum-Rah Everliving,Warm
22,Mum-Rah Everliving,Warm
22,Mum-Rah Everliving,Cold
26,Mum-Rah Everliving,Cold
38,Mum-Rah Everliving,Hot
29,Mum-Rah Everliving,Hot
35,Mum-Rah Everliving,Warm
20,Mum-Rah Everliving,Warm
10,Mum-Rah Everliving,Cold
5,Mum-Rah Everliving,Cold
2,Mum-Rah Everliving,Hot
5,Mum-Rah Everliving,Hot
3,Mum-Rah Everliving,Warm
40,Mum-Rah Everliving,Warm
2,Mum-Rah Everliving,Cold
2,Mum-Rah Everliving,Cold
1,Mum-Rah Everliving,Hot
3,Mum-Rah Everliving,Hot
5,Mum-Rah Everliving,Warm
2,Mum-Rah Everliving,Warm
5,Mum-Rah Everliving,Cold
3,Mum-Rah Everliving,Cold
40,Mum-Rah Everliving,Hot
2,Mum-Rah Everliving,Hot
2,Mum-Rah Everliving,Warm
1,Mum-Rah Everliving,Warm
45,U-No-Die,Cold
39,U-No-Die,Cold
44,U-No-Die,Hot
16,U-No-Die,Hot
