Hours,FactorA,FactorB,Subject
1.4,1,1,1
0.8,1,1,2
0.9,1,1,3
1.1,1,1,4
3.1,1,2,1
3.3,1,2,2
2.9,1,2,3
3,1,2,4
3.7,1,3,1
3.6,1,3,2
3.6,1,3,3
3.9,1,3,4
2.4,2,1,1
2.7,2,1,2
2.3,2,1,3
2.5,2,1,4
4.6,2,2,1
4.2,2,2,2
4.9,2,2,3
4.7,2,2,4
4.8,2,3,1
4.5,2,3,2
4.4,2,3,3
4.6,2,3,4
5.8,3,1,1
5.2,3,1,2
5.5,3,1,3
5.3,3,1,4
8.9,3,2,1
9.1,3,2,2
8.7,3,2,3
9,3,2,4
9.1,3,3,1
9.3,3,3,2
8.7,3,3,3
9.4,3,3,4
6.1,4,1,1
5.7,4,1,2
5.9,4,1,3
6.2,4,1,4
9.9,4,2,1
10.5,4,2,2
10.6,4,2,3
10.1,4,2,4
13.5,4,3,1
13,4,3,2
13.3,4,3,3
13.2,4,3,4
