"id","name","cr","type","size","ac","hp","speed","align","legendary","str","dex","con","int","wis","cha","proficiency_bonus","xp"
"1","aarakocra",0.25,"humanoid (aarakocra)",0,12,13,"fly","neutral good",0,10,14,10,11,12,11,2,50
"3","aboleth",10,"aberration",1,17,135,"swim","lawful evil",1,21,9,15,18,15,18,4,5900
"6","acolyte",0.25,"humanoid (any race)",0,10,9,"","any alignment",0,10,10,10,10,14,11,2,50
"7","adult-black-dragon",14,"dragon",1,19,195,"fly, swim","chaotic evil",1,23,14,21,14,13,17,5,11500
"9","adult-blue-dragon",16,"dragon",1,19,225,"fly","lawful evil",1,25,10,23,16,15,19,5,15000
"10","adult-brass-dragon",13,"dragon",1,18,172,"fly","chaotic good",1,23,10,21,14,13,17,5,10000
"11","adult-bronze-dragon",15,"dragon",1,19,212,"fly, swim","lawful good",1,25,10,23,16,15,19,5,13000
"12","adult-copper-dragon",14,"dragon",1,18,184,"fly","chaotic good",1,23,12,21,18,15,17,5,11500
"13","adult-gold-dragon",17,"dragon",1,19,256,"fly, swim","lawful good",1,27,14,25,16,15,24,6,18000
"14","adult-green-dragon",15,"dragon",1,19,207,"fly, swim","lawful evil",1,23,12,21,18,15,17,5,13000
"17","adult-red-dragon",17,"dragon",1,19,256,"fly","chaotic evil",1,27,10,25,16,13,21,6,18000
"18","adult-silver-dragon",16,"dragon",1,19,243,"fly","lawful good",1,27,10,25,16,13,21,5,15000
"19","adult-white-dragon",13,"dragon",1,18,200,"fly, swim","chaotic evil",1,22,10,22,8,12,12,5,10000
"20","air-elemental",5,"elemental",1,15,90,"fly","neutral",0,14,20,14,6,10,6,3,1800
"27","allosaurus",2,"beast",1,13,51,"","unaligned",0,19,13,17,2,12,5,2,450
"30","ancient-black-dragon",21,"dragon",1,22,367,"fly, swim","chaotic evil",1,27,14,25,16,15,19,7,33000
"31","ancient-blue-dragon",23,"dragon",1,22,481,"fly","lawful evil",1,29,10,27,18,17,21,7,50000
"32","ancient-brass-dragon",20,"dragon",1,20,297,"fly","chaotic good",1,27,10,25,16,15,19,6,25000
"33","ancient-bronze-dragon",22,"dragon",1,22,444,"fly, swim","lawful good",1,29,10,27,18,17,21,7,41000
"34","ancient-copper-dragon",21,"dragon",1,21,350,"fly","chaotic good",1,27,12,25,20,17,19,7,33000
"35","ancient-gold-dragon",24,"dragon",1,22,546,"fly, swim","lawful good",1,30,14,29,18,17,28,7,62000
"36","ancient-green-dragon",22,"dragon",1,21,385,"fly, swim","lawful evil",1,27,12,25,20,17,19,7,41000
"37","ancient-red-dragon",24,"dragon",1,22,546,"fly","chaotic evil",1,30,10,29,18,15,23,7,62000
